NEIGHBORHOOD,MEDIAN INCOME,POPULATION PER SQMI,income level,Lat,Lon
Sun Valley,51290,8048,low,34.2204227,-118.3878945
Long Beach,50985,8882,low,33.7690164,-118.191604
Los Feliz,50793,13512,low,34.1076561,-118.2875062
Palms,50684,21870,low,34.0247328,-118.4116152
Glassell Park,50098,8524,low,34.1161201,-118.2289627
Paramount,49815,11395,low,33.898917,-118.171005
Rosemead,49387,10332,low,34.0676169,-118.0879763
Pacoima,49066,10510,low,34.2625025,-118.427027
Elysian Valley,49013,9354,low,34.0959128,-118.2420326
Lynwood,48518,14264,low,33.924831,-118.2024154
South Gate,48312,12945,low,33.9463456,-118.200981
Harbor Gateway,47849,7720,low,33.85283015,-118.29817047501172
South El Monte,46912,7150,low,34.0519548,-118.0467339
Hawaiian Gardens,46853,15141,low,33.8284787,-118.074313
Inglewood,46574,12330,low,33.9562003,-118.353132
Commerce,46245,1912,low,34.002581,-118.156586
Valley Glen,46175,12325,low,34.1826379,-118.4138666
Manchester Square,46093,11449,low,33.966374,-118.3133775
El Sereno,45866,9826,low,34.0811213,-118.1778495
Leimert Park,45865,9880,low,34.008441,-118.3314469
Highland Park,45478,16835,low,34.1099469,-118.1969828
Panorama City,44468,18028,low,34.2242902,-118.4453745
El Monte,44415,11995,low,34.0751571,-118.036849
Hawthorne,43602,13848,low,33.9188589,-118.3483256
Compton,43157,9199,low,33.894927,-118.226624
North Hollywood,42791,13264,low,34.1649502,-118.3747521
Bell Gardens,41532,17762,low,33.9694561,-118.1503953
Maywood,41203,23638,low,33.9866807,-118.185349
Van Nuys,41134,11542,low,34.1866193,-118.4486675
Wilmington,40627,5636,low,33.7800164,-118.262509
Bell,40556,14357,low,33.9747806,-118.1866361
Hyde Park,39460,12700,low,33.9854024,-118.330861
Huntington Park,39185,20223,low,33.9827043,-118.2120343
Cudahy,39048,19697,low,33.9620584,-118.1835395
West Adams,38209,14686,low,34.0294356,-118.3524833
Echo Park,37708,16868,low,34.0779819,-118.2567824
Harvard Park,37013,16072,low,33.9839471,-118.3046228
Florence-Firestone,34408,16805,low,33.9674263,-118.2433068
Exposition Park,33999,16819,low,34.01365405,-118.28721058194556
Hollywood,33694,22193,low,34.0980031,-118.329523
Boyle Heights,33235,14229,low,34.0436892,-118.2097684
Jefferson Park,32654,16300,low,34.0296173,-118.3224597
Green Meadows,31347,12785,low,33.9409877,-118.2629968
Vermont Vista,31272,14154,low,33.9419475,-118.2858138
Harvard Heights,31173,23473,low,34.0471105,-118.3054828
Lincoln Heights,30579,10602,low,34.0726552,-118.2111954
Koreatown,30558,42611,low,34.0617936,-118.305447
East Hollywood,29927,31095,low,34.0904277,-118.2966254
Vermont Square,29904,17798,low,34.0019449,-118.3002125
Adams-Normandie,29606,21848,low,34.0317877,-118.3002466
South Park,29518,21638,low,33.9959381,-118.2697608
Elysian Park,28263,1538,low,34.08289815,-118.23441344019174
Vermont Knolls,27730,18057,low,33.9668188,-118.29167
Westlake,26757,38214,low,34.0629226,-118.2728204
Pico-Union,26424,25352,low,34.0465669,-118.2878942
Watts,25161,17346,low,33.9405897,-118.2428984
Chinatown,22754,10568,low,34.0638402,-118.2358676
University Park,18533,20217,low,34.0274421,-118.2839209
Downtown,15003,4770,low,34.047996,-118.2521002
