CITY_TYPE,CITY,COMMUNITY,LABEL,City_Community,Cases,Case_Rate,Deaths,Death_Rate,Percent_of_People_with_1__Dose,Percent_of_People_Fully_Vaccinated
City,San Dimas, ,City of San Dimas,City of San Dimas,8095,23453.0,127,368.0,0.76,0.71
City,San Fernando, ,City of San Fernando,City of San Fernando,10446,42443.0,80,325.0,0.83,0.76
City,San Gabriel, ,City of San Gabriel,City of San Gabriel,7644,18665.0,243,593.0,0.93,0.85
City,San Marino, ,City of San Marino,City of San Marino,1457,10974.0,13,98.0,0.93,0.86
City,Santa Clarita, ,City of Santa Clarita,City of Santa Clarita,54213,24595.0,382,173.0,0.83,0.77
City,Santa Fe Springs, ,City of Santa Fe Springs,City of Santa Fe Springs,6373,34704.0,55,299.0,0.82,0.76
City,Santa Monica, ,City of Santa Monica,City of Santa Monica,17349,18767.0,240,260.0,0.92,0.84
City,Sierra Madre, ,City of Sierra Madre,City of Sierra Madre,1541,14023.0,22,200.0,0.9,0.84
City,Signal Hill, ,City of Signal Hill,City of Signal Hill,2853,24184.0,13,110.0,0.8,0.74
City,South El Monte, ,City of South El Monte,City of South El Monte,6583,31520.0,88,421.0,0.81,0.74
City,South Gate, ,City of South Gate,City of South Gate,38406,39128.0,314,320.0,0.81,0.74
City,South Pasadena, ,City of South Pasadena,City of South Pasadena,4063,15595.0,61,234.0,0.95,0.88
City,Temple City, ,City of Temple City,City of Temple City,6256,17161.0,150,411.0,0.92,0.85
City,Torrance, ,City of Torrance,City of Torrance,23021,15423.0,302,202.0,0.88,0.82
City,Vernon, ,City of Vernon,City of Vernon,308,147368.0,0,0.0,0.0,0.0
City,Walnut, ,City of Walnut,City of Walnut,4909,16078.0,46,151.0,0.89,0.84
City,West Covina, ,City of West Covina,City of West Covina,29332,27100.0,363,335.0,0.85,0.78
City,West Hollywood, ,City of West Hollywood,City of West Hollywood,8107,21940.0,61,165.0,0.87,0.78
City,Westlake Village, ,City of Westlake Village,City of Westlake Village,280,3349.0,2,24.0,0.84,0.78
City,Whittier, ,City of Whittier,City of Whittier,23755,27170.0,336,384.0,0.8,0.73
City,Bradbury, ,City of Bradbury,City of Bradbury,66,6174.0,0,0.0,0.72,0.66
City,Monrovia, ,City of Monrovia,City of Monrovia,8296,21381.0,103,265.0,0.81,0.76
City,Diamond Bar, ,City of Diamond Bar,City of Diamond Bar,9196,15989.0,107,186.0,0.88,0.82
City,Pomona, ,City of Pomona,City of Pomona,52063,33388.0,584,375.0,0.75,0.68
